N,Sort 1 Comparisons,Sort 1 Exchanges,Sort 1 Time(ns),Sort 2 Comparisons,Sort 2 Exchanges,Sort 2 Time(ns),Sort 3 Comparisons,Sort 3 Exchanges,Sort 3 Time(ns)
0,0,0,5,0,0,7,0,0,4
50,493,493,225,274,148,178,206,123,82
100,1878,1878,670,681,421,235,413,572,219
150,4830,4830,1713,1152,688,395,767,634,308
200,9492,9492,1418,1698,863,285,1021,885,242
250,14719,14719,2083,2280,1060,85,1525,1042,336
300,19464,19464,2937,3040,1701,71,1831,1484,416
350,28266,28266,2395,3296,2033,82,2137,1788,491
400,38922,38922,743,4004,2219,95,2440,2160,582
450,47769,47769,911,4543,2507,121,2743,2385,672
500,58999,58999,1169,5040,2424,127,3048,2898,747
550,75166,75166,1444,6815,3349,145,3901,3177,1992
600,80727,80727,1573,6953,4472,187,4256,3396,969
650,98804,98804,1927,8122,3612,178,4612,3876,1069
700,115286,115286,580,7276,4192,175,4964,5034,1251
750,140279,140279,690,8492,4834,197,5319,4834,330
800,149367,149367,692,8856,4895,203,5673,4998,261
850,175283,175283,746,9438,5446,243,6028,5366,269
900,193973,193973,794,9328,4609,154,6383,5798,289
950,222448,222448,879,11112,5764,126,6735,6260,333
